Fecha,Casos
2020-03-06,1
2020-03-09,2
2020-03-11,6
2020-03-12,5
2020-03-13,5
2020-03-14,18
2020-03-15,16
2020-03-16,14
2020-03-17,25
2020-03-18,12
2020-03-19,26
2020-03-20,48
2020-03-21,34
2020-03-22,29
2020-03-23,73
2020-03-24,105
2020-03-25,61
2020-03-26,10
2020-03-27,49
2020-03-28,69
2020-03-29,94
2020-03-30,96
2020-03-31,107
2020-04-01,160
2020-04-02,96
2020-04-03,105
2020-04-04,140
2020-04-05,79
2020-04-06,94
2020-04-07,129
2020-04-08,346
2020-04-09,169
2020-04-10,251
2020-04-11,235
2020-04-12,67
2020-04-13,77
2020-04-14,126
2020-04-15,125
2020-04-16,128
2020-04-17,205
2020-04-18,183
2020-04-19,174
2020-04-20,182
2020-04-21,171
2020-04-22,193
2020-04-23,194
2020-04-24,304
2020-04-25,261
2020-04-26,237
2020-04-27,218
2020-04-28,354
2020-04-29,261
2020-04-30,296
2020-05-01,500
2020-05-02,277
2020-05-03,422
2020-05-04,307
2020-05-05,641
2020-05-06,347
2020-05-07,497
2020-05-08,594
2020-05-09,444
2020-05-10,568
2020-05-11,550
2020-05-12,658
2020-05-13,659
2020-05-14,680
2020-05-15,606
2020-05-16,723
2020-05-17,635
2020-05-18,721
2020-05-19,640
2020-05-20,752
2020-05-21,643
2020-05-22,801
2020-05-23,1046
2020-05-24,998
2020-05-25,806
2020-05-26,1022
2020-05-27,1101
2020-05-28,1262
2020-05-29,1322
2020-05-30,1548
2020-05-31,1147
2020-06-01,1110
2020-06-02,1340
2020-06-03,1521
2020-06-04,1767
2020-06-05,1515
2020-06-06,1392
2020-06-07,1209
2020-06-08,1483
2020-06-09,1359
2020-06-10,1604
2020-06-11,1530
2020-06-12,1646
2020-06-13,1888
2020-06-14,2194
2020-06-15,2125
2020-06-16,1869
2020-06-17,2115
2020-06-18,3171
2020-06-19,3060
2020-06-20,2357
2020-06-21,3019
2020-06-22,2532
2020-06-23,2389
2020-06-24,3541
2020-06-25,3486
2020-06-26,3843
2020-06-27,4151
2020-06-28,3178
2020-06-29,3274
2020-06-30,2803
2020-07-01,4163
2020-07-02,4101
2020-07-03,3394
2020-07-04,3891
2020-07-05,3722
2020-07-06,3170
2020-07-07,4213
2020-07-08,4144
2020-07-09,5337
2020-07-10,6801
2020-07-11,4586
2020-07-12,5084
2020-07-13,3832
2020-07-14,5622
2020-07-15,5271
2020-07-16,8037
2020-07-17,8928
2020-07-18,8560
2020-07-19,6578
2020-07-20,6726
2020-07-21,7031
2020-07-22,7391
2020-07-23,7945
2020-07-24,7168
2020-07-25,7254
2020-07-26,8181
2020-07-27,8126
2020-07-28,10284
2020-07-29,8670
2020-07-30,9964
2020-07-31,9489
2020-08-01,10673
2020-08-02,11470
2020-08-03,10198
2020-08-04,7129
2020-08-05,10734
2020-08-06,11996
2020-08-07,9484
2020-08-08,9675
2020-08-09,10610
2020-08-10,10143
2020-08-11,12830
2020-08-12,12064
2020-08-13,11287
2020-08-14,11306
2020-08-15,11578
2020-08-16,11644
2020-08-17,8327
2020-08-18,12463
2020-08-19,13054
2020-08-20,11541
2020-08-21,8419
2020-08-22,10965
2020-08-23,8044
2020-08-24,10546
2020-08-25,10433
2020-08-26,10143
2020-08-27,9753
2020-08-28,8499
2020-08-29,9394
2020-08-30,8024
2020-08-31,7235
2020-09-01,8901
2020-09-02,9268
2020-09-03,8237
2020-09-04,8488
2020-09-05,8394
2020-09-06,8066
2020-09-07,5327
2020-09-08,7664
2020-09-09,7337
2020-09-10,7812
2020-09-11,7425
2020-09-12,6876
2020-09-13,7355
2020-09-14,5574
2020-09-15,6699
2020-09-16,7787
2020-09-17,7568
2020-09-18,6527
2020-09-19,7927
2020-09-20,6678
2020-09-21,5359
2020-09-22,7103
2020-09-23,6730
2020-09-24,6556
2020-09-25,7495
2020-09-26,7721
2020-09-27,7018
2020-09-28,5143
2020-09-29,5838
2020-09-30,5637
2020-10-01,5660
2020-10-02,6190
2020-10-03,6616
2020-10-04,6905
2020-10-05,7104
2020-10-06,7650
2020-10-07,7875
2020-10-08,8496
2020-10-09,8120
2020-10-10,8447
2020-10-11,8569
2020-10-12,7766
2020-10-13,5015
2020-10-14,6061
2020-10-15,6823
2020-10-16,8372
2020-10-17,7017
2020-10-18,7201
2020-10-19,6311
2020-10-20,8256
2020-10-21,7562
2020-10-22,8570
2020-10-23,8671
2020-10-24,8770
2020-10-25,8174
2020-10-26,9167
2020-10-27,8166
2020-10-28,8719
2020-10-29,11187
2020-10-30,10029
2020-10-31,11033
2020-11-01,9137
2020-11-02,9934
2020-11-03,6136
2020-11-04,8693
2020-11-05,9894
2020-11-06,9757
2020-11-07,8715
2020-11-08,7438
2020-11-09,5183
2020-11-10,7612
2020-11-11,8653
2020-11-12,8685
2020-11-13,8689
2020-11-14,8307
2020-11-15,7742
2020-11-16,6471
2020-11-17,5915
2020-11-18,6877
2020-11-19,7489
2020-11-20,7954
2020-11-21,7049
2020-11-22,7924
2020-11-23,6564
2020-11-24,7516
2020-11-25,8498
2020-11-26,9498
2020-11-27,10030
2020-11-28,9106
2020-11-29,8763
2020-11-30,8433
2020-12-01,7983
2020-12-02,9305
2020-12-03,9240
2020-12-04,9286
2020-12-05,9644
2020-12-06,8854
2020-12-07,6000
2020-12-08,7510
2020-12-09,7525
2020-12-10,7779
2020-12-11,8996
