model,brand,year,title_status,mileage,color,state,condition,price,clase
cruiser,toyota,2008,clean vehicle,274117.0,black,new jersey,10 days left,6300,0
se,ford,2011,clean vehicle,190552.0,silver,tennessee,6 days left,2899,0
mpv,dodge,2018,clean vehicle,39590.0,silver,georgia,2 days left,5350,0
door,ford,2014,clean vehicle,64146.0,blue,virginia,22 hours left,25000,1
1500,chevrolet,2018,clean vehicle,6654.0,red,florida,22 hours left,27700,1
mpv,dodge,2018,clean vehicle,45561.0,white,texas,2 days left,5700,0
pk,chevrolet,2010,clean vehicle,149050.0,black,georgia,22 hours left,7300,0
door,gmc,2017,clean vehicle,23525.0,gray,california,20 hours left,13350,0
malibu,chevrolet,2018,clean vehicle,9371.0,silver,florida,22 hours left,14600,0
mpv,ford,2017,clean vehicle,63418.0,black,texas,2 days left,5250,0
coupe,dodge,2009,clean vehicle,107856.0,orange,georgia,22 hours left,10400,0
mpv,gmc,2017,clean vehicle,39650.0,white,california,20 hours left,12920,0
1500,chevrolet,2018,clean vehicle,22909.0,black,tennessee,22 hours left,31900,1
wagon,chrysler,2017,clean vehicle,138650.0,gray,texas,2 days left,5430,0
door,ford,2013,clean vehicle,100757.0,black,virginia,22 hours left,20700,1
door,gmc,2017,clean vehicle,25747.0,white,california,20 hours left,12710,0
forte,kia,2018,clean vehicle,46194.0,blue,north carolina,2 days left,5200,0
encore,buick,2018,clean vehicle,20002.0,red,tennessee,22 hours left,16500,0
mpv,ford,2017,clean vehicle,35714.0,white,texas,2 days left,5210,0
door,ford,2013,clean vehicle,54380.0,gray,virginia,22 hours left,38100,1
door,gmc,2017,clean vehicle,30114.0,white,california,20 hours left,12520,0
forte,kia,2018,clean vehicle,38823.0,black,north carolina,2 days left,7300,0
door,chevrolet,2015,clean vehicle,61578.0,black,ohio,2 days left,15000,0
mpv,ford,2017,clean vehicle,46010.0,blue,texas,2 days left,6180,0
door,ford,2013,clean vehicle,105510.0,silver,virginia,22 hours left,20800,1
door,gmc,2017,clean vehicle,28040.0,silver,california,20 hours left,11900,0
sorento,kia,2020,clean vehicle,11451.0,blue,north carolina,2 days left,21500,1
door,buick,2014,clean vehicle,31039.0,brown,ohio,2 days left,12000,0
doors,ford,2017,clean vehicle,44174.0,white,texas,2 days left,4190,0
chassis,ford,2008,clean vehicle,93698.0,white,tennessee,22 hours left,13000,0
door,gmc,2017,clean vehicle,26364.0,silver,california,20 hours left,12710,0
q70,infiniti,2016,clean vehicle,71967.0,gray,new york,19 hours left,18500,0
